invoice_number,vendor_name,invoice_date,taxable_value,tax_amount,total_amount,gstin,source_file
INV-2024-0451,Sharma Textiles Pvt Ltd,2024-06-01,50000,9000,59000,24AAACS1234F1Z5,invoice_001.pdf
INV-2024-0452,Kumar Electronics,2024-06-03,80000,14400,94400,27AABCK5678G1Z2,invoice_002.pdf
INV-2024-0453,Iyer Industrial Supplies,2024-06-05,30000,5400,36400,33AAECI9012H1Z8,invoice_003.pdf
INV-2024-0454,Patel Engineering Works,2024-06-07,45000,8100,53100,24AACPP3456J1Z1,invoice_004.pdf
INV-2024-0455,Global Traders Co,2024-06-10,120000,21600,141600,07AAFCG7890K1Z4,invoice_005.pdf
INV-2024-0451,Sharma Textiles Pvt Ltd,2024-06-01,50000,9000,59000,24AAACS1234F1Z5,invoice_006.pdf
INV-2024-0456,Sharma Textiles Pvt Ltd,2024-06-12,55000,9900,64900,27AAACS1234F1Z5,invoice_007.pdf
INV-2024-0457,Kumar Electronics,2024-06-15,250000,45000,295000,27AABCK5678G1Z2,invoice_008.pdf
INV-2024-0458,New Vendor Traders,2024-06-18,60000,10800,70800,29AAZZZ0000A1Z1,invoice_009.pdf
INV-2024-0451A,Sharma Textiles Pvt Ltd,2024-06-01,50000,9000,59000,24AAACS1234F1Z5,invoice_010.pdf
